ID,NDVI,TEMPERATURA
"672",0.1109041348,7.00000
"673",0.1326504201,8.00000
"674",0.2130051404,10.00000
"675",0.1525349468,9.00000
"676",-0.0727613345,6.00000
"677",-0.0792013109,5.00000
"688",0.1462922245,9.00000
"689",0.0445219167,1.00000
"690",0.0301103424,6.00000
"691",0.0070935767,6.00000
"692",0.4122588932,6.00000
"693",0.4719262719,6.00000
"694",-0.0809053704,6.00000
"700",0.1032803878,10.00000
"701",0.2314717025,9.00000
"702",0.4562324583,8.00000
"703",-0.0723522007,6.00000
"704",0.0260143559,4.00000
"713",0.1099223197,9.00000
"714",0.0998128504,9.00000
"715",0.1717242449,10.00000
"716",-0.0347553939,6.00000
"717",0.0955729261,8.00000
"718",0.4573205710,7.00000
"719",-0.0670170859,6.00000
"730",0.1706191897,8.00000
"731",0.1236231029,9.00000
"732",0.1992482394,10.00000
"733",-0.0376351438,3.00000
"734",0.4068003595,7.00000
"739",0.2028157562,8.00000
"740",0.4818226099,8.00000
"741",0.2846565843,8.00000
"742",0.0558174625,7.00000
"743",0.2982725799,6.00000
"744",-0.0751809925,6.00000
"745",-0.0839958489,6.00000
"746",0.0227258429,6.00000
"754",0.1702649146,10.00000
"755",0.2033846974,9.00000
"756",0.4720234573,6.00000
"757",0.2312229872,6.00000
"758",0.0494930968,7.00000
"759",0.4152300060,6.00000
"760",-0.0788022056,6.00000
"761",-0.0769597590,6.00000
"762",0.1244916394,8.00000
"763",0.4636282623,7.00000
"764",0.3681167960,8.00000
"770",0.2055004835,10.00000
"771",0.1355972290,8.00000
"772",0.4082348645,6.00000
"773",-0.0633593649,6.00000
"774",-0.0710282475,6.00000
"784",0.1591303498,10.00000
"785",0.2062424421,10.00000
"786",-0.0714004487,5.00000
"787",-0.0728200972,6.00000
"788",0.1080505848,8.00000
"789",0.0861525834,8.00000
"790",0.3036527038,8.00000
"791",-0.0812475905,5.00000
"796",0.1857942194,10.00000
"797",0.1407187432,10.00000
"798",0.0670649260,7.00000
"799",-0.0335556492,7.00000
"800",0.0315836817,7.00000
"801",-0.0359467864,6.00000
"802",-0.0953891501,6.00000
"803",0.4173196852,6.00000
"804",0.3152792156,6.00000
"805",0.4845988452,6.00000
"806",0.0680517629,7.00000
"807",0.4740566909,7.00000
"808",0.4716481566,7.00000
"809",-0.0662887543,6.00000
"815",0.1392675638,11.00000
"816",0.1574731469,10.00000
"817",0.1801291108,9.00000
"818",0.0448886827,8.00000
"819",0.4229227900,7.00000
"820",0.2326819003,6.00000
"821",0.4707818329,7.00000
"822",0.2744836211,7.00000
"825",0.1425232887,10.00000
"826",0.3998489380,7.00000
"827",0.4557763338,6.00000
"828",0.1926845163,5.00000
"829",0.2462419718,8.00000
"830",0.4307675064,7.00000
"831",-0.0618585311,6.00000
"840",0.1482446641,12.00000
"841",0.1673664898,12.00000
"842",0.1969978660,9.00000
"843",0.3423800468,7.00000
"844",0.2589972019,7.00000
"845",0.0025225226,6.00000
"846",0.0658133626,5.00000
"847",0.3960554004,5.00000
"848",0.4118247032,6.00000
"849",0.0729756206,7.00000
"850",0.1957157403,8.00000
"851",0.1849735528,8.00000
"852",0.3503969014,7.00000
"853",-0.0672153607,6.00000
"858",0.1742690802,9.00000
"859",0.4872557223,8.00000
"860",-0.0017373399,7.00000
"861",-0.0213409308,7.00000
"862",0.1193062812,7.00000
"863",0.1821710318,7.00000
"870",0.1325460225,12.00000
"871",0.1593758911,11.00000
"872",0.1156901866,7.00000
"873",0.2782171071,6.00000
"874",0.1149116382,5.00000
"875",-0.0614586435,7.00000
"876",0.4065950811,7.00000
"884",0.0896968767,9.00000
"885",0.2434213608,7.00000
"886",0.0798417255,8.00000
"887",0.4084600806,5.00000
"888",0.3148788810,5.00000
"889",0.3605319560,8.00000
"890",0.1069830283,7.00000
"894",0.1062178984,11.00000
"895",0.3324346244,8.00000
"896",0.2973545790,7.00000
"897",-0.0829170793,6.00000
"906",0.1336472630,11.00000
"907",0.1823556125,6.00000
"908",0.2022390962,6.00000
"909",-0.0268956572,6.00000
"910",-0.0916253775,6.00000
"911",0.4115355611,8.00000
"917",0.1271497905,12.00000
"918",0.0762722716,7.00000
"919",0.2145305723,6.00000
"920",0.1627103090,6.00000
"921",0.3914379478,5.00000
"922",0.4638710022,6.00000
"923",0.4356507957,7.00000
"924",0.0720089152,6.00000
"925",0.1661721021,8.00000
"926",0.4079964757,5.00000
"927",0.3410676420,8.00000
"931",0.1619929969,12.00000
