VALUE,TEMP_rec
-0.0733141378,6.00000
-0.0720261931,6.00000
0.1671436280,10.00000
-0.0840374678,6.00000
0.3203534186,6.00000
0.1396192759,11.00000
0.4143087566,6.00000
0.4029777348,6.00000
0.0781824961,8.00000
0.4738756120,6.00000
0.1850713193,10.00000
0.1674029827,9.00000
0.4014816880,6.00000
0.4511311948,6.00000
0.2959289253,7.00000
0.2758872807,8.00000
0.1297853589,8.00000
0.1515462398,10.00000
0.4570800960,6.00000
0.1002209261,7.00000
0.0762469247,12.00000
0.4063379168,5.00000
0.1028535068,7.00000
0.4304538369,6.00000
0.1239015609,8.00000
0.1316915601,10.00000
0.1680853069,10.00000
0.0711240545,5.00000
0.3443486989,6.00000
0.4337719977,7.00000
0.2100283504,11.00000
0.1833134443,6.00000
0.4524867833,6.00000
-0.0904120058,6.00000
0.1297512949,10.00000
0.2170046419,12.00000
0.1322229505,10.00000
0.1302896738,8.00000
0.1528011411,11.00000
0.1251396984,4.00000
0.0754908100,9.00000
-0.0673076957,6.00000
-0.0481365621,6.00000
0.3413610160,7.00000
-0.0933381245,6.00000
0.0993091911,11.00000
0.1947496831,10.00000
0.1069770902,10.00000
0.2098153383,6.00000
0.0564799346,6.00000
-0.0695897713,6.00000
0.3446466029,8.00000
-0.0890470818,5.00000
-0.0889822021,5.00000
0.0400656797,12.00000
0.1064532101,12.00000
0.1499006003,10.00000
0.1189304739,9.00000
0.2418101579,10.00000
0.1065226495,8.00000
-0.0865694284,5.00000
0.2548662126,6.00000
0.1298727393,5.00000
0.1239077747,8.00000
-0.0947454050,5.00000
0.1828324050,9.00000
0.0490714647,6.00000
0.1399931312,9.00000
0.1093510091,10.00000
0.3480094373,7.00000
0.2945623398,6.00000
0.1377272457,6.00000
0.0084129851,5.00000
0.3356244266,10.00000
0.1013354287,8.00000
0.1311976314,5.00000
0.3864038587,7.00000
0.4671344161,6.00000
0.3358955085,6.00000
0.2075862884,8.00000
0.1566488594,8.00000
0.0182894971,4.00000
0.0702649206,11.00000
0.4269333184,9.00000
0.5282089710,8.00000
0.1189374551,6.00000
0.2264784127,5.00000
-0.0931978524,7.00000
-0.0473283865,5.00000
0.1248112246,12.00000
0.1621917933,7.00000
0.1122263074,8.00000
0.2341777831,11.00000
0.5692456365,7.00000
0.3751248717,7.00000
0.1809050441,5.00000
0.2232531458,4.00000
-0.1151719391,5.00000
0.3710090518,7.00000
0.4337668419,6.00000
0.4236326814,6.00000
0.0772296935,7.00000
0.1799149960,12.00000
0.4293859005,6.00000
0.1537652314,6.00000
0.2803767919,5.00000
0.2572392821,5.00000
0.1603208929,5.00000
0.1947643906,6.00000
0.2229887098,4.00000
0.1190886945,3.00000
0.0231884066,6.00000
0.0490962490,4.00000
0.1467977911,12.00000
0.1588950902,12.00000
0.1261603534,7.00000
0.1863337159,12.00000
0.1923305690,6.00000
0.3950178027,6.00000
0.4384673834,7.00000
0.4544725716,7.00000
0.1628849804,12.00000
0.0902961046,12.00000
0.0600155070,5.00000
0.2518756688,6.00000
0.4467605352,6.00000
0.2016640306,5.00000
0.1064288840,12.00000
0.1144817322,12.00000
0.1875565350,11.00000
0.3851565123,7.00000
0.4035028815,6.00000
0.0798854604,7.00000
0.1312966943,6.00000
0.0296380371,6.00000
0.0880746171,8.00000
0.0108038643,8.00000
-0.0015163003,7.00000
0.0282553285,5.00000
-0.0545043759,5.00000
0.1963836253,12.00000
0.1095946953,3.00000
0.4262503982,6.00000
0.1623699069,12.00000
0.1338890195,6.00000
0.2061979473,9.00000
0.0948968902,7.00000
0.2978630066,6.00000
0.4580999315,6.00000
0.1305017173,12.00000
0.0967871100,8.00000
0.1727264821,11.00000
0.4298705161,6.00000
0.4735542834,6.00000
0.1089993119,7.00000
0.4480925500,7.00000
0.4566943943,7.00000
-0.0453475416,5.00000
0.4025878012,6.00000
-0.0908878744,5.00000
0.0624551326,2.00000
0.0948157758,7.00000
0.0692885220,12.00000
0.2585051954,6.00000
0.4408781827,6.00000
0.4802596271,6.00000
-0.0418318510,5.00000
0.1813823134,10.00000
0.1645628214,12.00000
0.0967801958,6.00000
0.0937681347,6.00000
0.3593438566,6.00000
0.4079052508,5.00000
0.4213624895,6.00000
0.4104610980,6.00000
0.4791145921,6.00000
0.1368683726,10.00000
0.1426178515,11.00000
0.3031289577,5.00000
0.1144430265,6.00000
0.1036859974,6.00000
0.4007496834,6.00000
0.5009759069,6.00000
0.1271039546,12.00000
0.3127821386,12.00000
0.1327273250,12.00000
0.4165976942,6.00000
0.1552954763,8.00000
0.2033638656,12.00000
0.1438694745,4.00000
0.3074683845,3.00000
0.4819548726,8.00000
-0.0528373085,6.00000
0.0016677210,5.00000
0.0312518105,6.00000
0.4664763510,6.00000
0.2872103751,6.00000
-0.0848304480,4.00000
0.0464747027,5.00000
0.1614681333,12.00000
0.2187146843,11.00000
0.0984353423,4.00000
0.0976257995,8.00000
0.4098082781,3.00000
-0.0252600294,7.00000
0.4677054286,6.00000
0.3694278002,5.00000
0.3151636124,8.00000
0.4179514051,6.00000
0.2081064284,12.00000
0.2448617965,11.00000
0.5150004625,8.00000
0.1440661401,10.00000
0.3701419234,6.00000
0.1960910410,11.00000
0.2939537764,11.00000
0.1332973987,11.00000
0.0908757374,10.00000
0.1203438416,11.00000
