Coord.X	        Coord.Y
944717.705	1471326.370
944951.179	1471549.654
945273.907	1471608.884
945580.661	1471722.861
945939.519	1471852.084
946295.157	1471968.234
946568.130	1472049.509
946841.477	1472173.695
947120.765	1472351.030
947399.487	1472557.833
947636.658	1472762.108
947933.815	1472991.835
948191.512	1473210.758
948450.752	1473418.875
948694.524	1473649.482
948918.956	1473956.346
949084.371	1474256.313
949235.376	1474557.180
949404.205	1474832.841
949611.909	1475071.159
949783.689	1475392.123
949939.087	1475687.351
950117.923	1476005.192
950307.875	1476306.277
950507.440	1476606.639
950674.577	1476893.090
950821.699	1477172.884
951019.549	1477484.047
951209.703	1477787.780
951427.123	1478062.918
951625.390	1478341.934
951812.854	1478605.683
951965.290	1478927.940
952108.474	1479221.226
952314.608	1479472.972
952463.602	1479816.963
952659.687	1480291.093
952879.675	1480566.160
953009.209	1480880.184
953006.422	1481263.021
953000.216	1481629.897
952982.821	1481970.715
953035.202	1482297.027
953176.711	1482607.727
953262.635	1482926.808
953279.881	1483276.379
953231.182	1483621.600
953017.719	1483892.827
952811.743	1484131.236
952722.413	1484479.933
952736.416	1484808.526
952761.584	1485133.974
952850.842	1485459.698
952892.264	1485838.916
952882.678	1486173.056
952889.055	1486575.643
952932.014	1486896.008
952979.755	1487258.883
952992.979	1487610.313
952882.985	1487971.574
952794.261	1488280.775
952674.730	1488602.496
952643.611	1488943.207
952511.934	1489305.586
952391.115	1489688.802
952269.490	1490015.992
952193.440	1490335.204
952103.346	1490663.203
952056.254	1491020.725
952080.419	1491352.951
952171.684	1491670.496
952317.436	1491966.358
952489.200	1492250.115
952668.512	1492538.629
952928.188	1492747.879
953182.730	1492912.079
953437.407	1493121.635
953725.909	1493091.060
954053.061	1493132.614
954376.061	1493240.960
954679.941	1493355.621
954979.242	1493475.798
955243.555	1493626.786
955552.700	1493698.522
955865.549	1493745.941
956134.492	1493840.786
956432.048	1493974.422
956741.884	1494112.746
957010.321	1494298.340
957268.961	1494481.640
957503.248	1494663.330
957737.453	1494893.065
958494.542	1495659.992
958664.618	1495919.350
958860.183	1496153.480
959059.833	1496472.847
959277.646	1496767.331
959501.517	1497034.908
959656.880	1497342.870
959806.083	1497621.791
959960.746	1497913.740
960084.048	1498260.478
960213.940	1498593.537
960392.759	1499087.270
960513.730	1499436.706
960599.837	1499766.479
960687.288	1500125.475
960809.095	1500440.189
960884.824	1500757.003
960954.376	1501095.490
961016.175	1501476.922
961114.911	1501816.697
961207.689	1502135.448
961235.265	1502459.720
961305.231	1502806.197
961373.794	1503176.604
961518.139	1503506.390
961699.547	1503850.456
961877.930	1504130.741
